max_header_bytes,min_header_bytes,mean_header_bytes,median_header_bytes,mode_header_bytes,fwd_max_header_bytes,fwd_min_header_bytes,fwd_mean_header_bytes,fwd_std_header_bytes,fwd_median_header_bytes,fwd_cov_header_bytes,fwd_mode_header_bytes,fwd_variance_header_bytes,bwd_std_header_bytes,bwd_cov_header_bytes,bwd_variance_header_bytes,fwd_init_win_bytes,bwd_init_win_bytes,rst_flag_counts,bwd_rst_flag_counts,psh_flag_percentage_in_total,rst_flag_percentage_in_total,fwd_psh_flag_percentage_in_total,fwd_syn_flag_percentage_in_total,bwd_psh_flag_percentage_in_total,fwd_psh_flag_percentage_in_fwd_packets,bwd_psh_flag_percentage_in_bwd_packets,bwd_rst_flag_percentage_in_bwd_packets,bwd_packets_IAT_mean,bwd_packets_IAT_max,bwd_packets_IAT_min,bwd_packets_IAT_total,bwd_packets_IAT_median,bwd_packets_IAT_mode,handshake_duration,handshake_state,mean_bwd_packets_delta_time,median_bwd_packets_delta_time,skewness_packets_delta_len,mode_fwd_packets_delta_len,label,activity
20,20,20.0,20.0,20.0,20,20,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64240,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,Benign,Benign
20,20,20.0,20.0,20.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,Benign,Benign-Systemic
24,20,22.67,24.0,24.0,24,24,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65535,65535,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,Benign,Benign-Telnet
20,20,20.0,20.0,20.0,20,20,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1024,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,Benign,Benign-Web_Browsing_HTTP-S
24,24,24.0,24.0,24.0,24,24,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1025,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,Benign,Benign-SSH
24,24,24.0,24.0,24.0,24,24,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,Benign,Benign-Email-Send
24,24,24.0,24.0,24.0,24,24,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1025,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,Benign,Benign-Email-Receive
20,20,20.0,20.0,20.0,20,20,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65535,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,Benign,Benign-FTP
40,40,40.0,40.0,40.0,40,40,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64240,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,Attack,Attack-TCP-BYPass-V1
20,20,20.0,20.0,20.0,20,20,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,Attack,Attack-TCP-Flag-SYN
