duration,fwd_mean_header_bytes,packets_IAT_mean,fwd_packets_IAT_median,total_header_bytes,fwd_median_header_bytes,packet_IAT_max,fwd_packets_IAT_mode,max_header_bytes,fwd_mode_header_bytes,packet_IAT_min,bwd_packets_IAT_total,min_header_bytes,fwd_init_win_bytes,packet_IAT_total,handshake_duration,mean_header_bytes,packets_rate,packets_IAT_median,mean_packets_delta_time,median_header_bytes,bwd_packets_rate,packets_IAT_mode,variance_packets_delta_time,mode_header_bytes,fwd_packets_rate,fwd_packets_IAT_mean,std_packets_delta_time,fwd_total_header_bytes,syn_flag_percentage_in_total,fwd_packets_IAT_max,median_packets_delta_time,fwd_max_header_bytes,ack_flag_percentage_in_total,fwd_packets_IAT_min,median_bwd_packets_delta_time,fwd_min_header_bytes,fwd_syn_flag_percentage_in_total,fwd_packets_IAT_total,median_fwd_packets_delta_time,label,activity
0.13945507,0.024687115,0.0,0.0,20,0.018298399,375979.06,573871.6,20,0.0,-1.1920929e-06,0.0,20,0,131961.94,-0.9996465,20.003077,5.3898,0.0,109.839554,20.0,14.135318,0.0,0.0,20.0,4.006628,0.0,0.0,19,9.9880905e-05,0.0,110.950325,0,0.5009589,654317.8,109.66837,0,0.00020230463,695394.25,0.0,Attack,Attack-TCP-Flag-ACK-PSH
0.0,20.001764,397796.97,1702860500.0,32,20.001509,285745.6,1702987800.0,20,20.0,373956.2,1701994200.0,20,1119,494602.03,-1.0,20.0,18605.604,106575.41,0.11149194,20.0,6476.806,334252.0,1.8593189,20.0,8283.38,1703014700.0,0.014535076,7,0.5000915,1703023200.0,0.11989503,20,0.49970883,1702726000.0,0.0,20,0.500087,1702699400.0,0.0050447285,Benign,Benign
0.0,39.981052,1702845300.0,1702658400.0,20,39.98448,1702659100.0,1702826800.0,40,40.0,1703023200.0,0.0,40,64203,1703023200.0,-1.0,39.9975,0.0,1702476700.0,0.006066947,40.0,1.5775955,1702865300.0,0.0,40.0,0.0,1702964100.0,0.017730469,18,1.0,1703023200.0,0.0,40,7.746586e-06,1703023200.0,0.0,40,1.0,1703023200.0,0.0061177523,Attack,Attack-TCP-BYPass-V1
0.0,32.109684,322048.66,1703023200.0,20,31.834942,839224.4,1702963500.0,32,32.0,-1.1920929e-06,1701396700.0,20,6194,0.0,-1.0,24.5659,20441.635,0.0,0.14548345,26.0,6151.3555,632978.56,0.0,20.0,7770.864,1702805800.0,0.0,11,0.50005376,1703023200.0,0.11782499,32,0.50068694,1703023200.0,0.0,32,0.5002993,1702846100.0,0.05461238,Attack,Attack-TCP-SYN
0.0,32.096977,631383.7,1702782100.0,20,31.81447,0.0,1703023200.0,32,32.0,391803.12,1702346400.0,20,65535,0.0,-0.99966353,26.881647,15285.32,0.0,0.076814994,26.0,8722.257,755659.75,1.2090317,20.0,10181.358,1702551400.0,0.0,66,0.4999627,1703023200.0,0.1165829,32,0.50062215,1703003300.0,0.0,32,0.4991861,1702533500.0,0.0,Benign,Benign
14.1947775,0.41771248,0.0,0.0,397,0.41775045,0.0,160475.0,44,44.0,-1.1920929e-06,0.0,44,64072,326495.44,-0.9998243,43.775417,19.009901,230135.02,167.21649,44.0,6.818743,379506.6,48.06627,44.0,2.9463859,0.0,0.22240584,319,0.9997659,9128.133,0.952629,44,0.0004718437,1708430.6,0.03835039,44,0.99991834,0.0,100.53257,Suspicious,Suspicious
0.0,24.008114,1702879200.0,1702888000.0,20,23.994247,1702880300.0,1702799400.0,24,24.0,1703023200.0,0.0,24,65329,1702965400.0,-0.99971604,23.995562,0.0,1702607600.0,0.0,24.0,12.219455,1702839900.0,4.152124,24.0,8.095599,1702635000.0,0.032365132,26,0.9999308,1703023200.0,0.0,24,0.0,1702920300.0,0.014208611,24,1.0,1702835500.0,0.01773601,Suspicious,Suspicious
24.380016,19.998,0.0,406373.62,392,19.989685,422574.97,403956.2,20,20.0,-1.1920929e-06,0.0,20,941,149301.19,-0.9982189,20.0,40.027096,0.0,135.68507,20.0,17.548965,212956.27,44.609585,20.0,17.427038,0.0,0.22079754,168,0.00230968,224841.95,0.20117705,20,1.0,266907.62,0.09233785,20,0.000906328,133588.28,0.23077708,Benign,Benign-Web_Browsing_HTTP-S
0.12447284,0.0,318591.47,0.0,20,0.07988466,0.0,945444.6,20,0.0,-1.1920929e-06,35225.742,20,65,138114.92,-1.0,20.002384,20.53492,0.0,109.412056,20.0,20.400312,252314.14,0.0,20.0,4.73155,0.0,0.0,0,0.0,0.0,110.13857,0,0.5003708,484153.53,108.04084,0,0.0,0.0,0.0,Attack,Attack-TCP-Flag-SYN-ACK
0.115286484,0.0,233678.8,159911.44,20,0.025797952,483375.25,0.0,20,0.0,-1.1920929e-06,0.0,20,0,363854.9,-0.99967515,20.003607,24.373894,0.0,109.74244,20.0,26.693962,0.0,0.0,20.0,7.2128024,0.0,0.0,2,0.0,0.0,110.415886,0,0.5009336,1173083.9,108.63465,0,0.0,0.0,0.014064084,Attack,Attack-Killer-TCP
